Catalog #,Title,Composer,Performer,Genre,Label,Date,Media Type,RPM,Comments
HSTR     552,,,,,NATIONAL BROADCASTING CO.,12/ 3/1950,,,"BIG SHOW, THE. 12/3/50 (SIDES 9 & 18)  NBC RADIO-RECORDING DIVISION, BROADCAST. 78 RPM. WHITE AND BLUE ""REFERENCE RECORDING"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #543-547, 549-550, 554 (RECORDS). GLUE HAS PERMEATED PAPER LABELS."
HSTR     553,,,,,VICTOR TALKING MACHINE CO.,,,,"UN BEL DI VEDREMO / VISSI D'ARTE E D'AMOR (PUCCINI) FARRAR, GERALDINE (VOCAL). VICTROLA 6110. SONGS FROM PUCCINI'S ""MADAMA BUTTERFLY"" AND ""TOSCA"". RED AND GOLD LABELS. SLEEVE HAS SMALL LABEL DESCRIBING OTHER WORK. FOUND IN #462 (CABINET). a-DISC, b-c-SLEEVE. SLEEVE TORN IN TWO PIECES."
HSTR     554,,,,,NATIONAL BROADCASTING CO.,12/ 3/1950,,,"BIG SHOW, THE. 12/3/50 (SIDES 7 & 16)  NBC RADIO-RECORDING DIVISION, BROADCAST. 78 RPM. WHITE AND BLUE ""REFERENCE RECORDING"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #543-547, 549-550, 552 (RECORDS). GLUE HAS PERMEATED PAPER LABELS."
HSTR     555,,,,,COLUMBIA GRAPHOPHONE CO.,,,,"L'AMOUR EST UNE VERTU RARE / DEPUIS LE JOUR GARDEN, MARY (SOPRANO), WITH ORCHESTRA ACCOMPANIMENT. COLUMBIA A5440. DISK ETCHED WITH GARDEN'S SIGNATURE. RED, WHITE AND BLUE LABEL. ""VICTOR"" SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. SLEEVE BRITTLE."
HSTR     556,,,,,VICTOR TALKING MACHINE CO.,,,,"FAUST - AIR DES BIJOUX (GOUNOD) MELBA, MME. NELLIE (SOPRANO). VICTOR ORCHESTRA. VICTROLA 88066. RED AND GOLD LABEL. SLEEVE IS FROM ALBUM, HAS PRINTED ""16"" IN CORNER. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. SLEEVE SPLIT ON ONE SIDE."
HSTR     557,,,,,VICTOR TALKING MACHINE CO.,,,,"STABAT MATER INFLAMATUS (ROSSINI) GADSKI, JOHANNA (SOPRANO). VICTOR ORCHESTRA. VICTROLA 88059. RED AND GOLD LABEL. FADED GREEN ALBUM SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. SLEEVE IS SPLIT AND DISINTEGRATING."
HSTR     558,,,,,RCA VICTOR,,,,"VARIATIONS ON A THEME OF PAGANINI IN A MINOR / CHOPIN: THREE ETUDES, OP.25 FIRST PIANO QUARTET (PIANISTS). RCA VICTOR 46-0010. BLUE LABELS. PLAIN MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE."
HSTR     559,,,,,,,,,"CARO NOME TRUMAN, MARGARET (LIKELY). BLACK AND YELLOW ""AUDIODISC"" LABELS. PENCILED ON LABELS: ""NO 1 DUB/CARO NOME"" AND ""NO 2 DUB/BEST CARO NOME"". FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. WHITE FILM ON DISK."
HSTR     560,,,,,,,,,"UNKNOWN TITLE TRUMAN, MARGARET (LIKELY).  BLACK AND YELLOW ""AUDIODISC"" LABEL. NO INFORMATION. RECORDED ONE SIDE ONLY. FOUND IN #462 (CABINET). WHITE FILM AND DUST ON DISC."
HSTR     561,,,,,EDWARD A. ROCHE STUDIOS,,,,"UNKNOWN TITLE TRUMAN, MARGARET (LIKELY). EDWARD A. ROCHE RECORDING, 1310 WYANDOTTE, KANSAS CITY. BLACK AND YELLOW ""AUDIODISC"" LABELS WITH PENCILED ""NO 4 COPY"". FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. BLANK RECORDING LABEL DETACHED. WHITE FILM ON DISC."
HSTR     562,,,,,,,,,"UNKNOWN TITLE TRUMAN, MARGARET (LIKELY).  BLACK AND YELLOW ""AUDIODISC"" LABELS WITH ""2"" ON ONE SIDE, ""DUB 1"" ON OTHER. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. WHITE FILM ON DISC."
